k,energy,band_localization,special_points
,,,
0,-61.6075,0.999951,0
0.0082,-61.6075,0.999951,0.5774
0.0165,-61.6075,0.999951,0.9107
0.0247,-61.6075,0.999951,1.5774
0.033,-61.6075,0.999951,
0.0412,-61.6075,0.999951,
0.0495,-61.6075,0.999951,
0.0577,-61.6075,0.999952,
0.066,-61.6075,0.999952,
0.0742,-61.6065,0.999952,
0.0825,-61.6065,0.999952,
0.0907,-61.6065,0.999952,
0.099,-61.6065,0.999952,
0.1072,-61.6055,0.999952,
0.1155,-61.6055,0.999952,
0.1237,-61.6045,0.999953,
0.132,-61.6045,0.999953,
0.1402,-61.6045,0.999953,
0.1485,-61.6035,0.999953,
0.1567,-61.6035,0.999954,
0.165,-61.6025,0.999954,
0.1732,-61.6025,0.999955,
0.1815,-61.6015,0.999955,
0.1897,-61.6015,0.999956,
0.1979,-61.6005,0.999956,
0.2062,-61.6005,0.999957,
0.2144,-61.5995,0.999957,
0.2227,-61.5995,0.999958,
0.2309,-61.5985,0.999959,
0.2392,-61.5975,0.99996,
0.2474,-61.5975,0.99996,
0.2557,-61.5965,0.999961,
0.2639,-61.5965,0.999962,
0.2722,-61.5955,0.999963,
0.2804,-61.5945,0.999964,
0.2887,-61.5945,0.999965,
0.2969,-61.5935,0.999966,
0.3052,-61.5935,0.999967,
0.3134,-61.5925,0.999968,
0.3217,-61.5915,0.999969,
0.3299,-61.5915,0.999971,
0.3382,-61.5905,0.999972,
0.3464,-61.5895,0.999973,
0.3547,-61.5895,0.999974,
0.3629,-61.5885,0.999975,
0.3712,-61.5885,0.999976,
0.3794,-61.5875,0.999977,
0.3877,-61.5875,0.999978,
0.3959,-61.5865,0.999979,
0.4041,-61.5865,0.99998,
0.4124,-61.5855,0.999981,
0.4206,-61.5855,0.999982,
0.4289,-61.5845,0.999983,
0.4371,-61.5845,0.999984,
0.4454,-61.5835,0.999985,
0.4536,-61.5835,0.999985,
0.4619,-61.5835,0.999986,
0.4701,-61.5825,0.999987,
0.4784,-61.5825,0.999987,
0.4866,-61.5825,0.999988,
