cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchi,isosmiles,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,sidsrcname,depcatg,annotation
   1268,"2-[2-(Benzylamino)-2-oxo-1-[(2-phenylacetyl)amino]ethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid",NULL,441.500,C23H27N3O4S,133.000,645.000,0.100,31,4,6,8,"InChI=1S/C23H27N3O4S/c1-23(2)19(22(29)30)26-21(31-23)18(20(28)24-14-16-11-7-4-8-12-16)25-17(27)13-15-9-5-3-6-10-15/h3-12,18-19,21,26H,13-14H2,1-2H3,(H,24,28)(H,25,27)(H,29,30)",CC1(C(NC(S1)C(C(=O)NCC2=CC=CC=C2)NC(=O)CC3=CC=CC=C3)C(=O)O)C,UDMBRVGTYILYDX-UHFFFAOYSA-N,"2-[2-(benzylamino)-2-oxo-1-[(2-phenylacetyl)amino]ethyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylic acid",NULL,Patents,1,NULL,20050325,ABI Chem|ChemDB|ChemSpider|ChemTik|DiscoveryGate|IBM|NextBio,Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,NULL
2173,"6-{[Amino(phenyl)acetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate","6-{[amino(phenyl)acetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate|STK177241|AKOS005410701",348.400,C16H18N3O4S-,141.000,556.000,-0.500,24,2,6,3,"InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)/p-1",CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)[O-])C,AVKUERGKIZMTKX-UHFFFAOYSA-M,"6-[(2-amino-2-phenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",NULL,Biological Test Results,1,1259325,20050325,"ABI Chem|AKos Consulting & Solutions|Ambinter|Aurora Fine Chemicals LLC|C. David Weaver Laboratory, Vanderbilt University|ChemDB|ChemSpider|DiscoveryGate|NextBio|Vitas-M Laboratory",Chemical Vendors|Legacy Depositors|Research and Development|Subscription Services,NULL
2174,Alpen,"Guicitrine|Ampicin|Deripen|Wypicil|6-{[amino(phenyl)acetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|Alpen|Ampen|Penbritin syrup|Ampicillin A|Semicillin R|Penbritin paediatric|AMPI|AB-PC Sol|856649-99-5|AB-PC|Penicillin, (aminophenylmethyl)-|HI 63|MFCD00005175|NSC528986|D-(-)-.alpha.-Aminobenzylpenicillin|Ampipenin, nt3|AY 6108|WY-5103|NCGC00018160-02|Pen A Oral|P 50|SQ 17382|Ampicillin Impurity B|.alpha.-Aminobenzylpenicillin|SCHEMBL242460|CHEMBL1617921|D-(-)-.alpha.-Aminopenicillin|CHEBI:94334|DTXSID20859077|BCP25420|BBL016496|MFCD00126984|STK803647|AKOS000641681|6-[(2-amino-2-phenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|LS-14499|NCI60_004295|SY076914|FT-0602848|SR-01000318615|SR-01000318615-1|WLN: T45 ANV ESTJ CMVYZR& F1 F1 GVQ -D|6-D(-)-.alpha.-Aminophenylacetamido-penicillanic acid|BRD-A16754160-001-01-5|BRD-A16754160-236-01-7|Q27166159|6-(D-(-)-.alpha.-Aminophenylacetamido)penicillanic acid|Ampicillin acid;Aminobenzylpenicillin;Piperacillin EP Impurity A|4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid,3-dimethyl-7-oxo-, D-(-)-|D-(-)-4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid,3-dimethyl-7-oxo-|4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid,3-dimethyl-7-oxo-, [2S-[2.alpha.,5.alpha.,6.beta.(S )]]-|6-(2-Amino-2-phenylacetylamino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|6-[(2-amino-1-oxo-2-phenylethyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|7-(2-amino-2-phenyl-acetyl)amino-3,3-dimethyl-6-oxo-2-thia-5-azabicyclo[3.2.0]heptane-4carboxylic acid|D-(-)-6-(2-Amino-2-phenylacetamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",349.400,C16H19N3O4S,138.000,562.000,-1.100,24,3,6,4,"InChI=1S/C16H19N3O4S/c1-16(2)11(15(22)23)19-13(21)10(14(19)24-16)18-12(20)9(17)8-6-4-3-5-7-8/h3-7,9-11,14H,17H2,1-2H3,(H,18,20)(H,22,23)",CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,AVKUERGKIZMTKX-UHFFFAOYSA-N,"6-[(2-amino-2-phenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NULL,Biological Test Results|Classification|Literature|Names and Identifiers|Patents,5,1|5|7|9|13|15|19|21|23|25|31|33|35|37|39|41|43|45|47|49|53|55|59|65|67|71|73|77|79|81|83|85|87|89|91|93|95|97|99|101|107|109|113|115|119|123|125|131|137|139|141|143|145|155|157|161|165|167|175|179|192|330|602332|624030|624170|624172|624173|1159607|1259310|1259374|1259397|1259398|1259416|1259422|1259423|1508602,20050325,"001Chemical|AAA Chemistry|abcr GmbH|ABI Chem|AbMole Bioscience|Accela ChemBio Inc.|Achemica|AKos Consulting & Solutions|Alfa Chemistry|Amadis Chemical|Ambinter|AN PharmaTech|Angel Pharmatech Ltd.|Angene Chemical|ASINEX|Aurora Fine Chemicals LLC|BioChemPartner|BOC Sciences|Broad Institute|C. David Weaver Laboratory, Vanderbilt University|ChEBI|Chem-Space.com Database|ChemBank|ChEMBL|ChemDB|ChemFish Tokyo co.,ltd|Cheminformatics Friedrich-Schiller-University Jena|ChemMol|ChemShuttle|ChemSpider|ChemTik|Clearsynth|Collaborative Drug Discovery, Inc.|DC Chemicals|Debye Scientific Co., Ltd|DiscoveryGate|DTP/NCI|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|EPA DSSTox|EPA Substance Registry Services|Finetech Industry Limited|Glentham Life Sciences Ltd.|Google Patents|Horrigan Lab, Baylor College of Medicine|IBM|ICCB-Longwood Screening Facility, Harvard Medical School|ISpharm|Japan Chemical Substance Dictionary (Nikkaji)|Key Organics/BIONET|King Scientific|labseeker|LeadScope|MassBank Europe|MassBank of North America (MoNA)|Mcule|Milwaukee Institute for Drug Discovery|MLSMR|MolCore BioPharmatech|MolPort|MP Biomedicals|National Center for Advancing Translational Sciences (NCATS)|NextBio|NextMove Software|NIH Clinical Collection|NORMAN Suspect List Exchange|NovoSeek|PATENTSCOPE (WIPO)|SCRIPDB|Springer Nature|SureChEMBL|The Rockefeller University High Throughput Screening and Spectroscopy Resource Center|The Scripps Research Institute Molecular Screening Center|Thermo Fisher Scientific|Thomson Pharma|TimTec|University of Kansas High Throughput Screening Laboratory|UW Madison, Small Molecule Screening Facility|Vitas-M Laboratory|Wikidata",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
2271,"3,3-Dimethyl-7-oxo-6-{[{[(2-oxo-1-imidazolidinyl)carbonyl]amino}(phenyl)acetyl]amino}-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid","MLS006011456|CHEMBL4747314|DTXSID20860542|BCP12666|CCG-16574|STK177243|AKOS000715136|SMR004703258|Azlocillin, Antibiotic for Culture Media Use Only|W-106570|Azlocilina; Azlocilline; Azlocillinum;Bay e 6905;Bay-e 6905;Baye 6905|3,3-Dimethyl-7-oxo-6-{2-[(2-oxo-imidazolidine-1-carbonyl)-amino]-2-phenyl-acetyl|3,3-dimethyl-7-oxo-6-{[{[(2-oxo-1-imidazolidinyl)carbonyl]amino}(phenyl)acetyl]amino}-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|3,3-dimethyl-7-oxo-6-{[{[(2-oxoimidazolidin-1-yl)carbonyl]amino}(phenyl)acetyl]amino}-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|3,3-Dimethyl-7-oxo-6-{2-[(2-oxoimidazolidine-1-carbonyl)amino](phenyl)acetamido}-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",461.500,C20H23N5O6S,173.000,844.000,0.100,32,4,7,5,"InChI=1S/C20H23N5O6S/c1-20(2)13(17(28)29)25-15(27)12(16(25)32-20)22-14(26)11(10-6-4-3-5-7-10)23-19(31)24-9-8-21-18(24)30/h3-7,11-13,16H,8-9H2,1-2H3,(H,21,30)(H,22,26)(H,23,31)(H,28,29)",CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)NC(=O)N4CCNC4=O)C(=O)O)C,JTWOMNBEOCYFNV-UHFFFAOYSA-N,"3,3-dimethyl-7-oxo-6-[[2-[(2-oxoimidazolidine-1-carbonyl)amino]-2-phenylacetyl]amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NULL,Biological Test Results,1,1259370|1671498,20050325,"001Chemical|ABBLIS Chemicals|ABI Chem|AKos Consulting & Solutions|Ambinter|AN PharmaTech|ASINEX|Assembly Blocks Pvt. Ltd.|Aurora Fine Chemicals LLC|BioChemPartner|Biosynth|BOC Sciences|Center for Chemical Genomics, University of Michigan|Chem-Space.com Database|ChEMBL|ChemDB|ChemDiv|Cheminformatics Friedrich-Schiller-University Jena|ChemShuttle|ChemSpider|ChemTik|Clearsynth|Collaborative Drug Discovery, Inc.|DiscoveryGate|EPA DSSTox|Finetech Industry Limited|Hairui Chemical|ICCB-Longwood Screening Facility, Harvard Medical School|LEAPCHEM|Mcule|MLSMR|MolCore BioPharmatech|MolPort|MP Biomedicals|National Center for Advancing Translational Sciences (NCATS)|NextBio|Pi Chemicals|RR Scientific|Sigma-Aldrich|TimTec|ToxPlanet|University of Kansas High Throughput Screening Laboratory|Vitas-M Laboratory",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
2282,"1-Ethoxycarbonyloxyethyl 6-[(2-amino-2-phenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate","CHEMBL1625790|DTXSID20860547|DB-051870|FT-0602883|1-[(Ethoxycarbonyl)oxy]ethyl 6-[2-amino(phenyl)acetamido]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",465.500,C21H27N3O7S,163.000,756.000,2.700,32,2,9,10,"InChI=1S/C21H27N3O7S/c1-5-29-20(28)31-11(2)30-19(27)15-21(3,4)32-18-14(17(26)24(15)18)23-16(25)13(22)12-9-7-6-8-10-12/h6-11,13-15,18H,5,22H2,1-4H3,(H,23,25)",CCOC(=O)OC(C)OC(=O)C1C(SC2N1C(=O)C2NC(=O)C(C3=CC=CC=C3)N)(C)C,PFOLLRNADZZWEX-UHFFFAOYSA-N,"1-ethoxycarbonyloxyethyl 6-[(2-amino-2-phenylacetyl)amino]-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",NULL,Patents,1,NULL,20050325,"001Chemical|ABI Chem|Angel Pharmatech Ltd.|ChEMBL|ChemDB|Cheminformatics Friedrich-Schiller-University Jena|ChemSpider|ChemTik|Clearsynth|Debye Scientific Co., Ltd|EPA DSSTox|Finetech Industry Limited|IBM|ICCB-Longwood Screening Facility, Harvard Medical School|LeadScope|MolCore BioPharmatech|National Center for Advancing Translational Sciences (NCATS)|NextBio|NORMAN Suspect List Exchange|PATENTSCOPE (WIPO)|RR Scientific|SCRIPDB|Vesino Industrial Co., Ltd",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
2349,Cillin,"Cillin|Benzopenicillin|Dropcillin|Gelacillin|Liquacillin|Pharmacillin|Cilopen|Galofak|Pradupen|(5S)-3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|1232134-74-5|Compocillin G|Specilline G|Benzylpenicillin G|Free penicillin G|Free benzylpenicillin|Cilloral|Cosmopen|(Phenylmethyl)penicillin|3,3-Dimethyl-7-oxo-6-[(phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|NSC131815|Penicillinic acid, benzyl-|(Phenylmethyl)penicillinic acid|Phenylacetamidopenicillanic acid|Benzyl-6-aminopenicillinic acid|3,3-dimethyl-7-oxo-6-((phenylacetyl)amino)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|7005-30-3|Penicilline G sodium salt|Oprea1_713794|Oprea1_861345|CHEMBL300052|SCHEMBL2109546|DTXSID20274362|DTXSID30859048|NSC11964|NSC-11964|NSC193396|STL453455|AKOS030242685|SB74416|3,3-Dimethyl-7-oxo-6-(2-phenylacetamido)-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|NCI60_000703|FT-0631271|FT-0770573|WLN: T45 ANV ESTJ CMV1R& F F GVQ|3,3-Dimethyl-6-(phenylacetylamino)-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid,3-dimethyl-7-oxo-6-(2-phenylacetamido)-|4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid,3-dimethyl-7-oxo-6-[(phenylacetyl)amino]- [2S-(2.alpha.,5.alpha.,6.beta.)]-",334.400,C16H18N2O4S,112.000,530.000,1.800,23,2,5,4,"InChI=1S/C16H18N2O4S/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)",CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,JGSARLDLIJGVTE-UHFFFAOYSA-N,"3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NULL,Biological Test Results|Classification|Drug and Medication Information|Food Additives and Ingredients|Literature|Names and Identifiers|Patents|Use and Manufacturing,8,248|376|1159607|1259397|1259398|1259423|1794731|1794732|1794733|1794735|1794736|1794738|1794739|1794740|1794742|1794745|1794746|1794748|1794750|1794751|1794752|1794753|1794754|1794755|1794756|1794757|1794758|1794759|1794760|1794761|1794763|1794764|1794765|1794766|1794767|1794768|1794769|1794771|1794772|1794773|1794774|1794775|1794776|1794777|1794778|1794779|1794780|1794781|1794782|1794783|1794784|1794785|1794786|1794787|1794788|1794789|1794790|1794792|1794794|1794795|1794796|1794798|1794799|1794800,20050325,"001Chemical|3WAY PHARM INC|AAA Chemistry|Aaron Chemicals LLC|ABI Chem|AKos Consulting & Solutions|Amadis Chemical|Ambinter|AN PharmaTech|Angel Pharmatech Ltd.|Angene Chemical|ASINEX|Aurora Fine Chemicals LLC|BenchChem|BOC Sciences|C. David Weaver Laboratory, Vanderbilt University|Center for Chemical Genomics, University of Michigan|Chem-Space.com Database|ChemBank|ChEMBL|ChemBlock|ChemBridge|ChemDB|ChemDiv|ChemIDplus|Cheminformatics Friedrich-Schiller-University Jena|ChemMol|ChemSpider|ChemTik|Clearsynth|Collaborative Drug Discovery, Inc.|Debye Scientific Co., Ltd|DiscoveryGate|DTP/NCI|eNovation Chemicals|EPA DSSTox|EPA Substance Registry Services|Finetech Industry Limited|Google Patents|Horrigan Lab, Baylor College of Medicine|Human Metabolome Database (HMDB)|IBM|ICCB-Longwood Screening Facility, Harvard Medical School|iChemical Technology USA Inc|J&H Chemical Co.,ltd|Japan Chemical Substance Dictionary (Nikkaji)|Key Organics/BIONET|labseeker|LeadScope|LEAPCHEM|MassBank Europe|Mcule|Milwaukee Institute for Drug Discovery|MolCore BioPharmatech|Molepedia|MolPort|MP Biomedicals|National Center for Advancing Translational Sciences (NCATS)|NextBio|NIH Clinical Collection|NIST Chemistry WebBook|NORMAN Suspect List Exchange|Norris Pharm|NovoSeek|PATENTSCOPE (WIPO)|PDSP|Pi Chemicals|RR Scientific|SCRIPDB|Smolecule|Springer Nature|SureChEMBL|Synblock Inc|THE BioTek|The Rockefeller University High Throughput Screening and Spectroscopy Resource Center|Therapeutic Target Database (TTD)|Thermo Fisher Scientific|Thieme Chemistry|Thomson Pharma|ToxPlanet|Tractus|UCSC Chemical Screening Center|University of Kansas High Throughput Screening Laboratory|UW Madison, Small Molecule Screening Facility|Vitas-M Laboratory|Wikidata|Wubei-Biochem",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
3596,"3,3-Dimethyl-6-oxo-7-(2,2-dimethyl-4-oxo-5-phenyl-3-imidazolidinyl)-2-thia-5-azabicyclo[3.2.0]heptane-4-carboxylic acid","6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid|CHEMBL1625673|SCHEMBL11475948|DTXSID60859814|AKOS030241959|4-Thia-1-azabicyclo[3.2.0]heptane-2-carboxylicacid,6-[(4R)-2,2-dimethyl-5-oxo-4-phenyl-1-imidazolidinyl]-3,3-dimethyl-7-oxo-,(2S,5R,6R)-|FT-0771485|3,3-Dimethyl-6-oxo-7-(2,2-dimethyl-4-oxo-5-phenyl-3-imidazolidinyl)-2-thia-5-azabicyclo[3.2.0]heptane-4-carboxylic acid",389.500,C19H23N3O4S,115.000,688.000,-0.600,27,2,6,3,"InChI=1S/C19H23N3O4S/c1-18(2)13(17(25)26)21-15(24)12(16(21)27-18)22-14(23)11(20-19(22,3)4)10-8-6-5-7-9-10/h5-9,11-13,16,20H,1-4H3,(H,25,26)",CC1(C(N2C(S1)C(C2=O)N3C(=O)C(NC3(C)C)C4=CC=CC=C4)C(=O)O)C,DXVUYOAEDJXBPY-UHFFFAOYSA-N,"6-(2,2-dimethyl-5-oxo-4-phenylimidazolidin-1-yl)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NULL,Patents,1,NULL,20050325,"AAA Chemistry|ABI Chem|AKos Consulting & Solutions|Ambinter|Angel Pharmatech Ltd.|Angene Chemical|ChEMBL|ChemDB|ChemIDplus|Cheminformatics Friedrich-Schiller-University Jena|ChemSpider|ChemTik|Clearsynth|Collaborative Drug Discovery, Inc.|DC Chemicals|EPA DSSTox|Finetech Industry Limited|Google Patents|J&H Chemical Co.,ltd|Japan Chemical Substance Dictionary (Nikkaji)|LeadScope|National Center for Advancing Translational Sciences (NCATS)|NextBio|NORMAN Suspect List Exchange|NovoSeek|PATENTSCOPE (WIPO)|RR Scientific|SureChEMBL|ToxPlanet",Chemical Vendors|Curation Efforts|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
4083,"3,3-Dimethyl-6-[[2-(methylideneamino)-2-phenylacetyl]amino]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",NCGC00178294-01|AB00053621_02,360.400,C17H18N3O4S-,127.000,597.000,3.700,25,1,6,4,"InChI=1S/C17H19N3O4S/c1-17(2)12(16(23)24)20-14(22)11(15(20)25-17)19-13(21)10(18-3)9-7-5-4-6-8-9/h4-8,10-12,15H,3H2,1-2H3,(H,19,21)(H,23,24)/p-1",CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=C)C(=O)[O-])C,FZECHKJQHUVANE-UHFFFAOYSA-M,"3,3-dimethyl-6-[[2-(methylideneamino)-2-phenylacetyl]amino]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",NULL,Biological Test Results,1,1159580|1224863,20050325,ABI Chem|ChemDB|chemical genetic matrix|ChemSpider|ChemTik|National Center for Advancing Translational Sciences (NCATS)|NextBio|Southern Research Institute,Chemical Vendors|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
4084,Micinovo; Pravacilin; Rastomycin K; Ruticina,"Micinovo; Pravacilin; Rastomycin K; Ruticina|Spectrum_001425|Spectrum2_000541|Spectrum3_001493|Spectrum4_000157|Spectrum5_001753|BSPBio_003105|KBioGR_000634|KBioSS_001905|DivK1c_000383|SPBio_000581|SCHEMBL1650135|CHEMBL1619690|KBio1_000383|KBio2_001905|KBio2_004473|KBio2_007041|KBio3_002605|DTXSID80859977|NINDS_000383|AKOS024374962|IDI1_000383|FT-0771335|Q6584200|3,3-Dimethyl-6-[2-(methylideneamino)(phenyl)acetamido]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",361.400,C17H19N3O4S,124.000,603.000,3.000,25,2,6,5,"InChI=1S/C17H19N3O4S/c1-17(2)12(16(23)24)20-14(22)11(15(20)25-17)19-13(21)10(18-3)9-7-5-4-6-8-9/h4-8,10-12,15H,3H2,1-2H3,(H,19,21)(H,23,24)",CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N=C)C(=O)O)C,FZECHKJQHUVANE-UHFFFAOYSA-N,"3,3-dimethyl-6-[[2-(methylideneamino)-2-phenylacetyl]amino]-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",NULL,Biological Test Results|Literature|Patents,3,1159550|1159607|1259397|1259398|1259423,20050325,"001Chemical|3WAY PHARM INC|AAA Chemistry|ABI Chem|AKos Consulting & Solutions|AmicBase - Antimicrobial Activities|BenchChem|BOC Sciences|Center for Chemical Genomics, University of Michigan|ChemBank|ChEMBL|ChemDB|chemical genetic matrix|Cheminformatics Friedrich-Schiller-University Jena|ChemSpider|ChemTik|Chen Lab, School of Medicine, Emory University|Collaborative Drug Discovery, Inc.|DiscoveryGate|DTP/NCI|Egon Willighagen (Dept. of Bioinformatics - BiGCaT, Maastricht University)|Emory University Molecular Libraries Screening Center|EPA DSSTox|Finetech Industry Limited|Google Patents|Gulick Lab, Department of Structural Biology, University at Buffalo|Human Metabolome Database (HMDB)|IBM|ICCB-Longwood Screening Facility, Harvard Medical School|Mcule|MolCore BioPharmatech|National Center for Advancing Translational Sciences (NCATS)|NextBio|NINDS Approved Drug Screening Program|NovoSeek|ORST SMALL MOLECULE SCREENING CENTER|Southern Research Institute|SureChEMBL|The Rockefeller University High Throughput Screening and Spectroscopy Resource Center|Thomson Pharma|TimTec|ToxPlanet|University of Iowa High-Throughput Screening Core (UIHTS)|UW Madison, Small Molecule Screening Facility",Chemical Vendors|Curation Efforts|Governmental Organizations|Journal Publishers|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
4729,"3,3-Dimethyl-7-oxo-6-[(phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate","3,3-dimethyl-7-oxo-6-[(phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate|STK177194|AKOS000715052|CCG-103309|NCGC00389455-01",333.400,C16H17N2O4S-,115.000,525.000,2.500,23,1,5,3,"InChI=1S/C16H18N2O4S/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22)/p-1",CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)[O-])C,JGSARLDLIJGVTE-UHFFFAOYSA-M,"3,3-dimethyl-7-oxo-6-[(2-phenylacetyl)amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate",NULL,Biological Test Results|Patents,2,1259325|1259370|1259389|1347074|1479145|1479147|1479149|1479150|1645845|1645846,20050325,"ABI Chem|AKos Consulting & Solutions|Ambinter|ASINEX|Aurora Fine Chemicals LLC|C. David Weaver Laboratory, Vanderbilt University|Center for Chemical Genomics, University of Michigan|ChemBlock|ChemDB|ChemDiv|ChemSpider|DiscoveryGate|Google Patents|National Center for Advancing Translational Sciences (NCATS)|NextBio|PATENTSCOPE (WIPO)|SCRIPDB|UCSC Chemical Screening Center|Vitas-M Laboratory",Chemical Vendors|Governmental Organizations|Legacy Depositors|NIH Initiatives|Research and Development|Subscription Services,NULL
